Date,Open*,High,Low,Close**,Volume,Market Cap
19-Feb-21,$0.06 ,$0.06 ,$0.05 ,$0.06 ,"$2,949,251,418 ","$7,082,160,843 "
18-Feb-21,$0.05 ,$0.06 ,$0.05 ,$0.06 ,"$4,551,943,638 ","$7,646,763,727 "
17-Feb-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$2,976,148,723 ","$6,340,534,302 "
16-Feb-21,$0.06 ,$0.06 ,$0.05 ,$0.05 ,"$3,409,478,696 ","$6,872,026,263 "
15-Feb-21,$0.06 ,$0.06 ,$0.05 ,$0.06 ,"$4,944,804,938 ","$7,265,519,863 "
14-Feb-21,$0.07 ,$0.07 ,$0.06 ,$0.06 ,"$3,984,667,628 ","$8,028,048,754 "
13-Feb-21,$0.07 ,$0.07 ,$0.07 ,$0.07 ,"$2,618,049,766 ","$8,529,400,211 "
12-Feb-21,$0.07 ,$0.07 ,$0.06 ,$0.07 ,"$4,190,843,784 ","$8,992,978,136 "
11-Feb-21,$0.07 ,$0.07 ,$0.07 ,$0.07 ,"$3,818,556,739 ","$8,941,609,529 "
10-Feb-21,$0.07 ,$0.08 ,$0.07 ,$0.07 ,"$6,785,088,422 ","$9,353,895,799 "
9-Feb-21,$0.08 ,$0.08 ,$0.07 ,$0.07 ,"$7,348,840,814 ","$8,990,202,084 "
8-Feb-21,$0.08 ,$0.08 ,$0.06 ,$0.08 ,"$12,844,375,210 ","$10,112,456,103 "
7-Feb-21,$0.06 ,$0.08 ,$0.05 ,$0.08 ,"$14,261,024,073 ","$10,105,792,829 "
6-Feb-21,$0.05 ,$0.06 ,$0.04 ,$0.06 ,"$5,946,101,275 ","$7,387,203,762 "
5-Feb-21,$0.05 ,$0.05 ,$0.04 ,$0.05 ,"$6,136,160,058 ","$6,019,284,098 "
4-Feb-21,$0.04 ,$0.06 ,$0.04 ,$0.05 ,"$13,040,837,601 ","$6,833,498,776 "
3-Feb-21,$0.03 ,$0.04 ,$0.03 ,$0.04 ,"$3,146,856,788 ","$4,759,532,731 "
2-Feb-21,$0.03 ,$0.03 ,$0.03 ,$0.03 ,"$3,090,896,595 ","$4,041,088,459 "
1-Feb-21,$0.04 ,$0.04 ,$0.03 ,$0.03 ,"$6,319,224,026 ","$4,470,660,189 "
31-Jan-21,$0.03 ,$0.05 ,$0.03 ,$0.04 ,"$8,548,997,882 ","$4,767,745,805 "
30-Jan-21,$0.05 ,$0.05 ,$0.02 ,$0.03 ,"$8,735,576,553 ","$3,611,147,492 "
29-Jan-21,$0.04 ,$0.08 ,$0.03 ,$0.05 ,"$25,403,310,432 ","$6,043,762,706 "
28-Jan-21,$0.01 ,$0.03 ,$0.01 ,$0.03 ,"$10,971,544,561 ","$4,367,344,237 "
27-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$204,797,186 ","$958,548,726 "
26-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$161,173,749 ","$1,057,483,330 "
25-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$180,820,875 ","$1,073,809,066 "
24-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$162,191,977 ","$1,117,773,115 "
23-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$154,393,737 ","$1,098,702,727 "
22-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$185,490,003 ","$1,091,461,748 "
21-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$215,419,839 ","$1,045,611,058 "
20-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$220,205,442 ","$1,159,923,229 "
19-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$249,242,632 ","$1,164,676,216 "
18-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$205,025,648 ","$1,173,880,970 "
17-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$254,487,989 ","$1,160,366,066 "
16-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$258,630,480 ","$1,185,597,169 "
15-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$398,965,925 ","$1,198,824,805 "
14-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$428,369,039 ","$1,202,240,980 "
13-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$240,079,033 ","$1,102,277,644 "
12-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$333,308,457 ","$1,031,361,130 "
11-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$637,956,958 ","$1,129,945,722 "
10-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$458,583,519 ","$1,260,915,514 "
9-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$485,842,353 ","$1,303,561,985 "
8-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$394,462,164 ","$1,258,947,804 "
7-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$520,644,706 ","$1,245,523,630 "
6-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$749,915,516 ","$1,337,772,240 "
5-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$687,256,067 ","$1,268,003,964 "
4-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$1,372,398,979 ","$1,248,286,672 "
3-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$2,707,003,608 ","$1,248,577,459 "
2-Jan-21,$0.01 ,$0.01 ,$0.01 ,$0.01 ,"$3,421,562,680 ","$1,356,280,740 "
1-Jan-21,$0.00 ,$0.01 ,$0.00 ,$0.01 ,"$228,961,515 ","$726,323,311 "
31-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$85,498,337 ","$598,149,001 "
30-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$94,834,499 ","$592,113,775 "
29-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$90,876,497 ","$573,014,174 "
28-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$99,641,525 ","$586,399,767 "
27-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$154,526,399 ","$580,710,699 "
26-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$151,728,507 ","$573,747,738 "
25-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$136,819,917 ","$584,963,464 "
24-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$143,405,580 ","$583,425,690 "
23-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$205,080,908 ","$480,893,678 "
22-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$239,288,785 ","$575,304,225 "
21-Dec-20,$0.00 ,$0.01 ,$0.00 ,$0.00 ,"$664,160,057 ","$610,925,197 "
20-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$508,066,004 ","$590,086,989 "
19-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$98,447,179 ","$500,981,993 "
18-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$101,799,430 ","$492,185,489 "
17-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$172,736,659 ","$475,751,449 "
16-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$50,989,880 ","$435,715,185 "
15-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$37,127,782 ","$408,820,668 "
14-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$36,238,516 ","$411,966,098 "
13-Dec-20,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$37,464,323 ","$415,120,510 "
