Type,Date,Open,High,Low,Close,Adj. close,Volume
nasdaq,8/7/2008,2362.790039,2386.439941,2351.320068,2355.72998,2355.72998,2189120000
s&p,8/8/2008,"1,266.29","1,297.85","1,262.11","1,296.32","1,296.32","4,96,68,10,000"
nasdaq,8/8/2008,2356.840088,2416.399902,2352.040039,2414.100098,2414.100098,2189630000
s&p,8/11/2008,"1,294.42","1,313.15","1,291.41","1,305.32","1,305.32","5,06,73,10,000"
nasdaq,8/11/2008,2407.550049,2461.649902,2402.530029,2439.949951,2439.949951,2272240000
s&p,8/12/2008,"1,304.79","1,304.79","1,285.64","1,289.59","1,289.59","4,71,12,90,000"
nasdaq,8/12/2008,2434.26001,2447.159912,2421.090088,2430.610107,2430.610107,2052610000
s&p,8/13/2008,"1,288.64","1,294.03","1,274.86","1,285.83","1,285.83","4,78,76,00,000"
nasdaq,8/13/2008,2424.320068,2443.439941,2404.030029,2428.620117,2428.620117,1995490000
s&p,8/14/2008,"1,282.11","1,300.11","1,276.84","1,292.93","1,292.93","4,06,40,00,000"
nasdaq,8/14/2008,2414.409912,2461.149902,2414.409912,2453.669922,2453.669922,1835830000
s&p,8/15/2008,"1,293.85","1,302.05","1,290.74","1,298.20","1,298.20","4,04,18,20,000"
nasdaq,8/15/2008,2463.100098,2473.199951,2441.050049,2452.52002,2452.52002,1742180000
s&p,8/18/2008,"1,298.14","1,300.22","1,274.51","1,278.60","1,278.60","3,82,92,90,000"
nasdaq,8/18/2008,2456.959961,2456.959961,2404.409912,2416.97998,2416.97998,1632610000
s&p,8/19/2008,"1,276.65","1,276.65","1,263.11","1,266.69","1,266.69","4,15,97,60,000"
nasdaq,8/19/2008,2404.949951,2410.959961,2376.669922,2384.360107,2384.360107,1716280000
